"Time","stdTM5418300110010548962.rates_x","stdTM5418300110010548962.rates_y","stdTM5418300110010548962.rates_z"
1722011752640,-0.032313,-0.028636,0.025804
1722011754470,0.009859,0.006516,0.684932
1722011756906,0.011432,0.004943,0.008134
1722011758673,0.036493,-0.006363,0.032963
1722011761234,0.086544,0.03601,0.187853
1722011762786,-0.080984,-0.023372,0.020719
1722011765023,0.030308,0.039157,0.025438
1722011766809,0.00632,0.038763,0.007741
1722011768584,0.007499,-0.01354,0.473752
1722011770886,0.008679,0.00101,0.037235
1722011773384,0.027949,-0.004102,0.021505
1722011774964,0.02441,-0.021406,1.917404
1722011776701,-0.000366,0.035617,0.021505
1722011780763,-0.038905,0.036404,0.097404
1722011783168,0.028141,0.023466,0.018247
1722011787080,0.156545,-0.062698,7.849315
1722011788909,0.027162,0.003763,0.037235
1722011791084,0.030308,0.004943,0.01482
1722011793161,0.149859,-0.014327,0.032123
1722011795568,0.00278,0.002977,0.021898
1722011799401,0.068455,-0.004889,0.024258
1722011800545,0.031095,0.017134,0.001449
1722011804071,0.010646,0.024213,0.023078
1722011804905,0.05587,0.013201,1.101
1722011806819,0.008286,0.05528,0.045494
1722011808514,0.022443,0.035617,0.021898
1722011810956,0.039747,0.013595,1.416393
1722011813307,-0.149411,0.10955,0.111168
1722011815199,0.033848,-0.009608,0.019932
1722011816960,0.024803,0.017134,0.009707
1722011818992,0.066881,-0.040675,3.960774
1722011820733,0.008286,-0.015113,0.018752
1722011823173,-0.006859,0.000398,0.022622
1722011824894,0.051544,-0.019439,2.867516
1722011826651,0.021264,0.002583,0.023078
1722011828453,0.027556,0.006123,0.004202
1722011835018,0.019297,0.002977,0.022292
1722011836693,0.014185,-0.021405,0.01128
1722011838890,-0.038677,0.047728,0.093816
1722011840649,-0.005085,-0.007641,0.025044
1722011842596,0.066488,-0.065057,0.005382
1722011844332,0.024164,0.016308,1.701031
1722011846950,0.037387,0.024999,0.015606
1722011848715,0.005926,0.037583,0.023078
1722011850520,0.068848,-0.010394,4.335157
1722011852926,0.014578,0.011629,0.020325
1722011855394,0.021657,-0.006461,0.024651
1722011857159,0.098735,-0.107135,0.019932
1722011860650,0.005926,0.011628,0.032516
1722011862600,0.013792,0.003763,0.02937
1722011864416,0.055477,-0.041461,1.97128
1722011867088,-0.04559,0.106797,0.01482
1722011868873,0.063342,-0.111462,0.010887
1722011870599,0.051938,0.017134,2.787685
1722011873039,0.049578,0.011628,0.970438
1722011874986,0.029915,0.019887,0.009707
1722011876793,-0.003905,0.023033,0.016786
1722011878583,0.045252,-0.013147,2.740494
1722011881195,0.021657,0.014774,0.019932
1722011882951,0.013005,0.002584,0.027011
1722011884760,0.048005,-0.024945,2.055831
1722011886609,0.017331,0.08792,0.019146
1722011888510,0.013005,0.040336,0.016786
1722011890889,0.055084,-0.094158,2.342516
1722011893075,0.048792,-0.023372,0.946449
1722011895539,0.000814,0.00455,0.019539
1722011897306,0.001207,0.030505,0.014033
1722011899072,0.040926,0.024999,3.018528
1722011900943,0.011432,0.009269,0.010494
1722011902698,0.027346,-0.03142,0.021429
1722011904576,0.045252,-0.040675,2.56864
1722011907084,0.009073,0.033651,-0.012315
1722011908873,0.013005,-0.009607,0.014426
1722011911131,0.092443,-0.064664,6.266057
1722011913248,0.011039,-0.017473,0.021505
1722011915117,0.014618,0.006762,0.015066
1722011916808,0.013791,-0.006855,0.014033
1722011918625,0.04014,-0.036349,2.763303
1722011921174,0.008286,0.00101,0.007348
1722011923021,0.000027,-0.034776,0.028584
1722011924839,0.034634,-0.033597,2.790438
1722011927025,0.026769,-0.001743,0.01364
1722011928775,-0.026321,-0.020619,0.014426
1722011931174,0.088511,-0.029664,4.26673
1722011932973,0.010646,0.030112,0.01364
1722011935001,-0.032219,-0.144495,0.053359
1722011936863,0.039277,0.084716,0.262452
1722011939007,0.008286,0.034437,0.022292
1722011940818,0.048398,-0.026911,3.551
1722011942625,0.029522,0.036797,0.021112
1722011944461,0.00278,-0.033203,0.947629
1722011946710,0.043679,0.033258,-0.007989
1722011948425,-0.014523,-0.037136,0.061224
1722011950940,0.033709,0.019887,0.065179
1722011952770,0.001207,-0.018259,0.223247
1722011954929,0.022837,-0.008035,0.640887
1722011957039,-0.039298,-0.057192,0.010887
1722011958855,0.067668,-0.05208,5.072515
1722011960586,0.00632,-0.013933,0.016
1722011962429,0.064522,-0.056799,3.567516
1722011964931,-0.010984,-0.020619,0.005382
1722011967306,0.026769,-0.003709,0.087179
1722011968903,0.051544,0.011235,0.143022
1722011970701,-0.000366,0.004156,0.03173
1722011973383,0.099522,0.038763,-0.009169
1722011975156,0.001994,-0.01354,0.020718
1722011976970,0.086151,-0.040282,4.498752
1722011978754,0.043679,0.002977,0.012067
1722011980612,0.178567,-0.097697,8.650776
1722011982910,0.020084,0.013201,0.014033
1722011984747,0.02087,0.009662,0.01364
1722011986545,0.018904,-0.008821,2.209595
1722011988889,0.070421,-0.002922,0.010494
1722011990678,0.139902,-0.074375,7.281543
1722011992574,0.055477,0.004943,0.019146
1722011994774,-0.001545,-0.000169,0.028977
1722011996555,0.03896,-0.021799,1.961056
1722011999184,0.068848,-0.005282,-0.006416
1722012001059,0.031488,0.004943,0.017179
1722012002876,0.011825,0.015168,0.000662
