sep=,
"Time","stdTM5418300110010548962.mean","stdTM5418300110010548962.mean","stdTM5418300110010548962.mean"
1720437798000,-0.002704,0.614009,0.789294
1720437800000,-0.003522,0.63602,0.771664
1720437802000,,,
1720437804000,-0.0050015,0.6423019999999999,0.7663815
1720437806000,,,
1720437808000,-0.006256,0.650127,0.7598
1720437810000,-0.011544,0.655915,0.754747
1720437812000,-0.000715,0.655724,0.755001
1720437814000,-0.000736,0.849533,0.527534
1720437816000,-0.000619,0.849638,0.527366
1720437818000,,,
1720437820000,-0.0015525,0.8527009999999999,0.5223675
1720437822000,-0.00305,0.881733,0.471739
1720437824000,-0.004705,0.912937,0.408073
1720437826000,-0.004418,0.937502,0.347951
1720437828000,-0.005701,0.959793,0.280649
1720437830000,-0.007886,0.978464,0.206266
1720437832000,-0.005886,0.989673,0.14322
1720437834000,-0.002393,0.998598,0.052882
1720437836000,-0.000756,0.999529,-0.030669
1720437838000,0.001402,0.997405,-0.07198
1720437840000,0.001335,0.997451,-0.071346
1720437842000,0.001065,0.997451,-0.071342
1720437844000,,,
1720437846000,0.0014215,0.9974535,-0.07130349999999999
1720437848000,,,
1720437850000,0.0013714999999999999,0.9974385,-0.0715125
1720437852000,0.001845,0.997463,-0.071158
1720437854000,0.001059,0.997468,-0.071109
1720437856000,0.000682,0.997463,-0.071189
1720437858000,0.000614,0.99743,-0.071643
1720437860000,-0.000239,0.997447,-0.071411
1720437862000,0.00092,0.997411,-0.071906
1720437864000,0.001397,0.997436,-0.071557
1720437866000,0.000751,0.997473,-0.071041
1720437868000,0.000959,0.997481,-0.070927
1720437870000,0.00209,0.997495,-0.070702
1720437872000,0.001131,0.997473,-0.071043
1720437874000,0.001885,0.997492,-0.070759
1720437876000,0.001303,0.997429,-0.071644
1720437878000,0.000821,0.997496,-0.070713
1720437880000,0.00133,0.997435,-0.071571
1720437882000,-0.000375,0.997371,-0.07246
1720437884000,-0.002119,0.997238,-0.074248
1720437886000,,,
1720437888000,-0.006063000000000001,0.9923805,0.08412649999999999
1720437890000,,,
1720437892000,-0.0054375,0.938953,0.33832150000000005
1720437894000,-0.003714,0.858339,0.51307
1720437896000,-0.011535,0.655297,0.755283
1720437898000,-0.012068,0.656672,0.754079
1720437900000,-0.004807,0.62653,0.779383
1720437902000,-0.004516,0.576183,0.817309
1720437904000,-0.005424,0.45248,0.891758
1720437906000,-0.006762,0.243348,0.969916
1720437908000,-0.005624,0.132359,0.991186
1720437910000,-0.005571,0.010667,0.999928
1720437912000,-0.006208,-0.209635,0.97776
1720437914000,-0.000348,-0.359131,0.933287
1720437916000,0.000203,-0.489854,0.871804
1720437918000,,,
1720437920000,-0.000318,-0.604484,0.796617
1720437922000,-0.000479,-0.2800525,0.4142105
1720437924000,-0.046747,-0.996171,0.073873
1720437926000,-0.044777,-0.998822,0.018676
1720437928000,-0.045493,-0.997876,-0.046634
1720437930000,0,0,0
1720437932000,0,0,0
1720437934000,0,0,0
1720437936000,0,0,0
1720437938000,0,0,0
1720437940000,0,0,0
1720437942000,0,0,0
1720437944000,0,0,0
1720437946000,,,
1720437948000,0,0,0
1720437950000,0,0,0
1720437952000,0,0,0
1720437954000,0,0,0
1720437956000,0,0,0
1720437958000,,,
1720437960000,0,0,0
1720437962000,0,0,0
1720437964000,0,0,0
1720437966000,0,0,0
1720437968000,0,0,0
1720437970000,0,0,0
1720437972000,0,0,0
1720437974000,0,0,0
1720437976000,,,
1720437978000,-0.0407825,-0.9980255,-0.047769
1720437980000,,,
1720437982000,-0.0414305,-0.99804,-0.046896999999999994
1720437984000,-0.041344,-0.998093,-0.045844
1720437986000,-0.041931,-0.998048,-0.046278
1720437988000,-0.042077,-0.998063,-0.045823
1720437990000,-0.042261,-0.998075,-0.045384
1720437992000,-0.043467,-0.998044,-0.044926
1720437994000,,,
1720437996000,-0.043135,-0.997997,-0.046268
1720437998000,-0.042727,-0.998052,-0.045452
1720438000000,-0.0439085,-0.99805,-0.044364
1720438002000,-0.044055,-0.998058,-0.044046
1720438004000,-0.043183,-0.998105,-0.04383
1720438006000,-0.044537,-0.998038,-0.043996
1720438008000,-0.044586,-0.998045,-0.043789
1720438010000,-0.043565,-0.998102,-0.043521
1720438012000,-0.045255,-0.998054,-0.042899
1720438014000,,,
1720438016000,-0.044614,-0.998068,-0.043239
1720438018000,-0.044993000000000005,-0.9980355,-0.0435935
1720438020000,-0.04397,-0.998068,-0.043887
1720438022000,-0.043559,-0.998114,-0.043254
1720438024000,-0.04392,-0.99809,-0.043446
1720438026000,,,
1720438028000,-0.044222,-0.998103,-0.042835
1720438030000,-0.044134,-0.998052,-0.044102
1720438032000,,,
1720438034000,-0.0440135,-0.998066,-0.0439035
1720438036000,-0.044572,-0.998007,-0.044672
1720438038000,-0.044674,-0.998067,-0.043198
1720438040000,-0.043582,-0.998089,-0.043809
1720438042000,-0.044223,-0.998047,-0.044117
1720438044000,-0.04391,-0.998043,-0.044517
1720438046000,-0.04345,-0.998089,-0.043941
1720438048000,-0.043943,-0.998011,-0.045205
1720438050000,,,
1720438052000,-0.044063,-0.998056,-0.044086
1720438054000,-0.04386,-0.998043,-0.044575
1720438056000,-0.044656,-0.998056,-0.0434765
1720438058000,-0.04492,-0.998055,-0.043237
1720438060000,-0.044201,-0.998067,-0.043679
1720438062000,-0.044968,-0.998081,-0.042559
1720438064000,-0.045754,-0.998076,-0.041841
1720438066000,-0.044585,-0.998066,-0.043321
1720438068000,,,
1720438070000,-0.044918,-0.998072,-0.042843
1720438072000,-0.045448,-0.998043,-0.042948
1720438074000,-0.0440715,-0.998089,-0.043312500000000004
1720438076000,-0.044114,-0.998083,-0.04341
1720438078000,-0.042063,-0.998047,-0.046181
1720438080000,-0.041053,-0.998131,-0.045278
1720438082000,-0.04146,-0.998078,-0.046048
1720438084000,-0.041612,-0.998061,-0.04629
1720438086000,-0.040043,-0.99807,-0.047468
1720438088000,-0.040445,-0.998067,-0.047192
1720438090000,-0.040531,-0.99806,-0.047268
1720438092000,,,
1720438094000,-0.041207,-0.9980435000000001,-0.047021
1720438096000,-0.041553,-0.998057,-0.046425
1720438098000,-0.042121,-0.99803,-0.046494
1720438100000,-0.041866,-0.998052,-0.046261
1720438102000,-0.042678,-0.998044,-0.045679
1720438104000,-0.042403,-0.998053,-0.045736
1720438106000,-0.043552,-0.997993,-0.045974
1720438108000,,,
1720438110000,-0.0425,-0.998107,-0.044458
1720438112000,-0.0428225,-0.9980435,-0.0455545
1720438114000,-0.041758,-0.998073,-0.045891
1720438116000,-0.040964,-0.998097,-0.046098
1720438118000,-0.041037,-0.998058,-0.046853
1720438120000,-0.039942,-0.998065,-0.047651
1720438122000,-0.04007,-0.998061,-0.047625
1720438124000,,,
1720438126000,-0.040523,-0.998121,-0.045956
1720438128000,-0.041511,-0.998141,-0.044627
1720438130000,-0.04366,-0.998109,-0.043278
1720438132000,-0.044311500000000004,-0.9980709999999999,-0.043487
1720438134000,-0.045168,-0.998028,-0.043585
1720438136000,-0.04489,-0.998052,-0.043334
1720438138000,-0.044302,-0.998101,-0.042811
1720438140000,-0.044686,-0.998066,-0.043219
1720438142000,-0.044173,-0.998336,-0.037079
1720438144000,-0.043967,-0.998901,-0.016252
1720438146000,-0.044521,-0.998988,0.00633
1720438148000,-0.043684,-0.998766,0.023639
1720438150000,-0.046325,-0.997948,0.044212
1720438152000,,,
1720438154000,-0.044403,-0.990634,0.12581599999999998
1720438156000,-0.042261,-0.977765,0.205399
1720438158000,-0.012214,-0.522257,0.852701
1720438160000,-0.008409,-0.547465,0.836787
1720438162000,-0.005791,-0.581573,0.813474
1720438164000,-0.006507,-0.603273,0.797508
1720438166000,,,
1720438168000,-0.0071275,-0.5942165,0.804074
1720438170000,-0.006416,-0.529087,0.848543
1720438172000,-0.003944,-0.472466,0.88134
1720438174000,-0.003885,-0.388715,0.92135
1720438176000,-0.00482,-0.325399,0.945564
1720438178000,-0.009291,-0.224316,0.974472
1720438180000,-0.009933,-0.213082,0.976984
1720438182000,-0.009253,-0.10558,0.994368
1720438184000,-0.004631,0.006378,0.999969
1720438186000,-0.005706,0.044818,0.998979
1720438188000,-0.006159,0.166931,0.985949
1720438190000,-0.006983,0.252787,0.967497
1720438192000,-0.003767,0.451978,0.892021
1720438194000,-0.0054,0.51779,0.855491
1720438196000,-0.003972,0.597713,0.801701
1720438198000,-0.003781,0.632509,0.774543
1720438200000,-0.004761,0.640887,0.76762
1720438202000,-0.008832,0.649804,0.760051
1720438204000,0.000316,0.867307,0.497773
1720438206000,,,
1720438208000,-0.000603,0.9167879999999999,0.39747
1720438210000,-0.000236,0.955692,0.294368
1720438212000,-0.00204,0.980395,0.197033
1720438214000,-0.001993,0.995448,0.095287
1720438216000,0.000747,0.999996,0.002618
1720438218000,0.003174,0.998264,-0.058806
1720438220000,0.003313,0.997993,-0.063234
1720438222000,0.003316,0.997994,-0.063224
1720438224000,0.003431,0.99802,-0.0628
1720438226000,,,
1720438228000,0.0030975,0.998001,-0.06312
1720438230000,0.002766,0.998007,-0.063043
1720438232000,0.004146,0.998016,-0.062825
1720438234000,0.004108,0.998016,-0.06282
1720438236000,,,
1720438238000,0.003393,0.998037,-0.062536
1720438240000,,,
1720438242000,0.003955,0.99806,-0.062126
1720438244000,0.004939,0.998016,-0.062768
1720438246000,0.003229,0.998014,-0.062909
1720438248000,0.004781,0.99804,-0.062396
1720438250000,,,
1720438252000,,,
1720438254000,,,
1720438256000,,,
1720438258000,,,
1720438260000,,,
1720438262000,,,
1720438264000,,,
1720438266000,,,
1720438268000,0.004459,0.998033,-0.062541
1720438270000,0.004228,0.998103,-0.061415
1720438272000,0.004143,0.998059,-0.062142
1720438274000,0.0036975000000000003,0.9980795,-0.0618405
1720438276000,0.004336,0.998063,-0.062061
1720438278000,0.0046300000000000004,0.998119,-0.0611345
1720438280000,0.004998,0.998079,-0.061751
1720438282000,0.003705,0.998058,-0.062181
1720438284000,0.0038794999999999997,0.9980255,-0.0626885
1720438286000,0.003862,0.9981,-0.061489
1720438288000,0.003967,0.9980495,-0.0623035
1720438290000,0.003176,0.998073,-0.061975
1720438292000,0.0040955,0.9980629999999999,-0.062075
1720438294000,0.003438,0.998066,-0.062075
1720438296000,0.0035859999999999998,0.998048,-0.06234150000000001
1720438298000,0.00164,0.997858,-0.065393
1720438300000,-0.0018030000000000001,0.99855,-0.008364
1720438302000,-0.005943,0.987352,0.158434
1720438304000,-0.0045605,0.9377605,0.344129
1720438306000,-0.0087215,0.7651265,0.619119
1720438308000,,,
1720438310000,-0.005755,0.621928,0.7827459999999999
1720438312000,,,
1720438314000,-0.0069105,0.5188155,0.8519574999999999
1720438316000,-0.00997,0.325293,0.945561
1720438318000,-0.009853,0.13452,0.990862
1720438320000,-0.008147,0.015717,0.999843
1720438322000,-0.00886,-0.213274,0.976952
1720438324000,-0.003396,-0.335373,0.942079
1720438326000,-0.002839,-0.406566,0.913617
1720438328000,-0.004373,-0.511116,0.859501
1720438330000,,,
1720438332000,-0.0062175,-0.582245,0.8129885
1720438334000,-0.038644,-0.966195,0.254902
1720438336000,-0.043318,-0.994234,0.098089
1720438338000,-0.04351,-0.99785,-0.049012
1720438340000,-0.046174,-0.996703,-0.066716
1720438342000,,,
1720438344000,-0.0474365,-0.996714,-0.0656535
1720438346000,-0.047063,-0.996763,-0.06519
1720438348000,,,
1720438350000,-0.047442,-0.996753,-0.065054
1720438352000,-0.048889,-0.996736,-0.064245
1720438354000,-0.048095,-0.996757,-0.06451
1720438356000,-0.04852,-0.996755,-0.064234
1720438358000,-0.04871,-0.996782,-0.063667
1720438360000,-0.048084,-0.996767,-0.064377
1720438362000,,,
1720438364000,-0.045778,-0.9956185,0.026332500000000002
1720438366000,-0.0111,-0.530228,0.847783
1720438368000,-0.007555,-0.529743,0.848125
1720438370000,-0.010361,-0.526384,0.850184
1720438372000,-0.01324,-0.52273,0.852395
1720438374000,-0.01482,-0.523756,0.851739
1720438376000,,,
1720438378000,-0.0160815,-0.524216,0.851433
1720438380000,-0.015277,-0.52483,0.85107
1720438382000,-0.014523,-0.524099,0.851534
1720438384000,-0.015648,-0.524679,0.851156
1720438386000,-0.0158,-0.522509,0.852488
1720438388000,-0.017099,-0.521661,0.852981
1720438390000,,,
1720438392000,-0.015517,-0.5234795,0.851897
1720438394000,-0.015046,-0.524384,0.851349
1720438396000,-0.013764,-0.526174,0.850266
1720438398000,-0.014663,-0.52541,0.850723
1720438400000,-0.014838,-0.527064,0.849696
1720438402000,-0.015086,-0.527439,0.849459
1720438404000,,,
1720438406000,-0.012913,-0.52573,0.850553
1720438408000,-0.012678,-0.529027,0.84851
1720438410000,-0.01163,-0.526408,0.850153
1720438412000,-0.012205,-0.527184,0.849664
1720438414000,-0.010758,-0.525338,0.850826
1720438416000,,,
1720438418000,-0.0399445,-0.982234,0.183356
1720438420000,-0.039567,-0.982411,0.18249
1720438422000,-0.040605,-0.982235,0.183208
1720438424000,-0.040699,-0.98202,0.184336
1720438426000,,,
1720438428000,-0.040546,-0.981906,0.184978
1720438430000,-0.040988,-0.9819065,0.18487599999999998
1720438432000,-0.041417,-0.981855,0.185055
1720438434000,-0.041878,-0.981724,0.185643
1720438436000,-0.042178,-0.98176,0.185388
1720438438000,-0.042925,-0.981664,0.185724
1720438440000,-0.043199,-0.981585,0.186076
1720438442000,,,
1720438444000,-0.042875,-0.981478,0.186718
1720438446000,-0.043558,-0.981319,0.187394
1720438448000,-0.042672,-0.98139,0.187221
1720438450000,-0.042814,-0.981454,0.186856
1720438452000,-0.0426,-0.981391,0.187233
1720438454000,-0.042837,-0.981398,0.187144
1720438456000,-0.042609,-0.981603,0.186118
1720438458000,-0.042834,-0.981403,0.18712
1720438460000,,,
1720438462000,-0.042551,-0.981454,0.186917
1720438464000,-0.039690500000000004,-0.981882,0.185283
1720438466000,-0.039452,-0.982522,0.181916
1720438468000,-0.039793,-0.982186,0.183648
1720438470000,-0.041186,-0.981935,0.184683
1720438472000,-0.041494,-0.981762,0.185532
1720438474000,-0.04198,-0.9817,0.185752
1720438476000,-0.042179,-0.981453,0.187006
1720438478000,-0.043515,-0.981284,0.187584
1720438480000,-0.043729,-0.981488,0.186467
1720438482000,-0.043091,-0.98148,0.186656
1720438484000,,,
1720438486000,-0.042013,-0.981563,0.186465
1720438488000,-0.042137,-0.981649,0.185984
1720438490000,-0.040236,-0.982037,0.184347
1720438492000,-0.038437,-0.98247,0.182416
1720438494000,-0.038725499999999996,-0.9824285,0.18257800000000002
1720438496000,-0.0405,-0.982302,0.182875
1720438498000,-0.039634,-0.982245,0.183369
1720438500000,-0.039088,-0.982324,0.183065
1720438502000,-0.039983,-0.982195,0.183563
1720438504000,-0.040311,-0.982184,0.183549
1720438506000,-0.041729,-0.982205,0.183115
1720438508000,-0.041443,-0.981885,0.184889
1720438510000,-0.041045,-0.981783,0.185518
1720438512000,-0.041659,-0.981712,0.185757
1720438514000,-0.043206,-0.981605,0.185969
1720438516000,-0.043086,-0.981345,0.187364
1720438518000,-0.043307,-0.981329,0.187396
1720438520000,-0.044096,-0.981244,0.187658
1720438522000,-0.043106,-0.981399,0.187076
1720438524000,-0.042234,-0.98145,0.187008
1720438526000,-0.042803,-0.98157,0.186246
1720438528000,-0.039746,-0.982097,0.184135
1720438530000,-0.039168,-0.982446,0.18239
1720438532000,-0.040381,-0.982161,0.183656
1720438534000,-0.040331,-0.981916,0.184971
1720438536000,-0.04238,-0.98177,0.185288
1720438538000,-0.04257,-0.981673,0.185755
1720438540000,-0.042687,-0.981382,0.18726
1720438542000,-0.043097,-0.981376,0.187201
1720438544000,-0.043595,-0.981471,0.186586
1720438546000,-0.042659,-0.981743,0.185367
1720438548000,-0.043124,-0.981686,0.185563
1720438550000,-0.041087,-0.98196,0.184572
1720438552000,-0.038445,-0.982429,0.182636
1720438554000,,,
1720438556000,-0.039372,-0.982544,0.181814
1720438558000,-0.039483,-0.982416,0.182481
1720438560000,-0.039781,-0.9822934999999999,0.1830755
1720438562000,-0.040318,-0.982082,0.184093
1720438564000,-0.040407,-0.982141,0.183754
1720438566000,-0.042263,-0.981869,0.184787
1720438568000,-0.041383,-0.981786,0.185427
1720438570000,-0.042068,-0.981656,0.185962
1720438572000,-0.042884,-0.98148,0.186705
1720438574000,,,
1720438576000,-0.042772,-0.981341,0.187457
1720438578000,,,
1720438580000,-0.0430145,-0.981483,0.186656
1720438582000,-0.040292,-0.982033,0.184355
1720438584000,-0.039213,-0.982472,0.182238
1720438586000,-0.039946,-0.982278,0.183125
1720438588000,-0.039995,-0.982109,0.184015
1720438590000,-0.041013,-0.982039,0.184167
1720438592000,,,
1720438594000,-0.041212,-0.981915,0.184782
1720438596000,-0.041795,-0.981586,0.186392
1720438598000,-0.042295,-0.9815754999999999,0.186335
1720438600000,-0.04269,-0.981672,0.185737
