sep=,
"Time","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_raw_sat_x","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_raw_sat_y","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_raw_sat_z","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_calib_sat_x","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_calib_sat_y","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_calib_sat_z"
1720440112855,4.410322,-30.864086,-21.149248,-1.67407,-19.136362,-20.453344
1720440114164,4.414623,-30.868385,-21.144516,-1.670665,-19.140301,-20.448946
1720440115744,4.409462,-30.858498,-21.160856,-1.674622,-19.131241,-20.464247
1720440116605,4.410322,-30.860212,-21.149248,-1.674106,-19.132887,-20.453379
1720440117940,4.415483,-30.848173,-21.154839,-1.669998,-19.122089,-20.458801
1720440119664,4.415053,-30.863653,-21.156128,-1.670177,-19.135956,-20.459866
1720440120783,4.414623,-30.868813,-21.152685,-1.670529,-19.14061,-20.456591
1720440122032,4.415914,-30.867956,-21.153545,-1.66949,-19.139845,-20.457424
1720440123108,4.412473,-30.858925,-21.151827,-1.672355,-19.131731,-20.455839
1720440124058,4.417204,-30.864944,-21.158279,-1.668409,-19.137117,-20.461903
1720440125267,4.414193,-30.852043,-21.153118,-1.671022,-19.125565,-20.457136
1720440127936,4.424086,-30.857199,-21.163872,-1.662885,-19.130184,-20.467318
1720440129051,4.419354,-30.867956,-21.161289,-1.666612,-19.139809,-20.464729
1720440130139,4.418494,-30.860214,-21.166451,-1.667289,-19.132814,-20.469616
1720440131596,4.419354,-30.85161,-21.15527,-1.666862,-19.125204,-20.459238
1720440132590,4.426666,-30.84688,-21.149675,-1.661147,-19.12108,-20.454161
1720440133875,4.431828,-30.85634,-21.154839,-1.656844,-19.129566,-20.458994
1720440135775,4.421075,-30.859352,-21.147528,-1.665538,-19.132233,-20.45195
1720440136894,4.416774,-30.856344,-21.141506,-1.669105,-19.129547,-20.44627
1720440138060,4.427526,-30.863226,-21.149244,-1.660312,-19.13575,-20.453627
1720440138876,4.429247,-30.858921,-21.150106,-1.658961,-19.131901,-20.4545
1720440140152,4.431397,-30.868383,-21.147528,-1.657194,-19.140427,-20.452038
1720440141719,4.430537,-30.855049,-21.154839,-1.657889,-19.128399,-20.458984
1720440142670,4.421936,-30.864515,-21.141506,-1.664899,-19.136923,-20.446281
1720440143874,4.431397,-30.864084,-21.141075,-1.657339,-19.136629,-20.446035
1720440149048,4.424946,-30.865376,-21.143656,-1.662447,-19.137705,-20.448334
1720440149906,4.426222,-30.85778,-21.144003,-1.661491,-19.130903,-20.448748
1720440151088,4.417634,-30.856342,-21.140215,-1.668437,-19.129566,-20.445074
1720440152665,4.421505,-30.861073,-21.145378,-1.665213,-19.133799,-20.449928
1720440153657,4.422796,-30.86495,-21.15226,-1.664032,-19.137226,-20.456358
1720440154561,4.421936,-30.862362,-21.150108,-1.66478,-19.134918,-20.454353
1720440155896,4.426666,-30.864084,-21.148819,-1.660999,-19.136517,-20.453207
1720440158482,4.428387,-30.856771,-21.144085,-1.659768,-19.130016,-20.448868
1720440159559,4.421936,-30.874409,-21.143656,-1.664772,-19.145777,-20.448206
1720440160978,4.422366,-30.862366,-21.146238,-1.664498,-19.134958,-20.450737
1720440162012,4.426666,-30.867529,-21.149679,-1.660953,-19.139597,-20.453981
1720440163434,4.424086,-30.870106,-21.159142,-1.662841,-19.141802,-20.462776
1720440164639,4.419785,-30.86237,-21.157419,-1.666382,-19.13484,-20.461163
1720440167181,4.423656,-30.866238,-21.157852,-1.663242,-19.13834,-20.461596
1720440168218,4.422366,-30.861074,-21.162579,-1.664246,-19.133654,-20.466045
1720440169209,4.423225,-30.861938,-21.163008,-1.663543,-19.134436,-20.466454
1720440171836,4.422365,-30.865377,-21.159142,-1.664261,-19.137543,-20.46279
1720440172868,4.425375,-30.872257,-21.153978,-1.661872,-19.143789,-20.457945
1720440174153,4.419785,-30.860216,-21.160429,-1.666354,-19.132879,-20.463999
1720440176577,4.416773,-30.861935,-21.149246,-1.668928,-19.134493,-20.453466
1720440177696,4.416343,-30.861933,-21.158279,-1.669126,-19.134405,-20.461916
1720440178604,4.421075,-30.863226,-21.158707,-1.665321,-19.135607,-20.462381
1720440179990,4.419355,-30.856773,-21.15914,-1.66675,-19.129803,-20.462816
1720440182692,4.418925,-30.866238,-21.158709,-1.667013,-19.138288,-20.462322
1720440183859,4.426667,-30.866234,-21.156559,-1.660853,-19.138376,-20.460434
1720440185048,4.418924,-30.861933,-21.155701,-1.667102,-19.134453,-20.459543
1720440186528,4.419785,-30.849894,-21.147528,-1.666659,-19.123737,-20.452013
1720440187606,4.420645,-30.867096,-21.148388,-1.665796,-19.139166,-20.452681
1720440188645,4.415914,-30.857201,-21.144081,-1.669744,-19.130287,-20.448658
1720440190066,4.419354,-30.865807,-21.148821,-1.666834,-19.137993,-20.453075
1720440191744,4.422796,-30.852472,-21.143223,-1.664295,-19.126116,-20.448008
1720440192778,4.427096,-30.856777,-21.149673,-1.66071,-19.129961,-20.454079
1720440193810,4.424946,-30.866236,-21.141504,-1.662474,-19.138494,-20.446312
1720440194890,4.421936,-30.865376,-21.141075,-1.664897,-19.137699,-20.445869
1720440195879,4.423656,-30.856775,-21.138062,-1.66365,-19.13003,-20.443151
1720440197125,4.421075,-30.859352,-21.134624,-1.665747,-19.132347,-20.439871
1720440198767,4.422795,-30.86021,-21.128603,-1.66446,-19.133184,-20.434254
1720440199798,4.420645,-30.864513,-21.123873,-1.666217,-19.137066,-20.429752
1720440200964,4.418065,-30.855913,-21.136343,-1.66816,-19.129219,-20.44146
1720440203763,4.423656,-30.859783,-21.151829,-1.663399,-19.132607,-20.456015
1720440204880,4.423655,-30.866665,-21.146667,-1.663419,-19.138823,-20.451122
1720440207556,4.424516,-30.864086,-21.148815,-1.66272,-19.136499,-20.453169
1720440208673,4.421505,-30.850317,-21.15527,-1.665153,-19.124065,-20.459284
1720440209919,4.424086,-30.85677,-21.149677,-1.663118,-19.129927,-20.454033
1720440210868,4.425807,-30.859356,-21.147526,-1.661752,-19.13228,-20.452024
1720440212565,4.424086,-30.861502,-21.148819,-1.663088,-19.134176,-20.453188
1720440213971,4.416774,-30.849459,-21.143656,-1.669134,-19.123354,-20.448343
1720440214818,4.423225,-30.85548,-21.137632,-1.664014,-19.12887,-20.442755
1720440216174,4.418924,-30.858061,-21.147095,-1.667278,-19.131058,-20.451521
1720440217836,4.419355,-30.868385,-21.134623,-1.667039,-19.140432,-20.43976
1720440219481,4.422667,-30.859556,-21.137775,-1.664421,-19.132515,-20.442844
1720440223515,-3.379355,-29.865808,-22.078707,-7.901112,-18.160181,-21.206123
1720440224743,-24.897205,-13.152686,-19.591827,-25.314707,-2.994006,-18.676867
1720440226982,-27.523012,-5.938925,-18.326452,-27.503616,3.488099,-17.513346
1720440228489,-27.540642,-6.180644,-18.257633,-27.516579,3.270902,-17.446503
1720440230860,-27.547525,-6.60258,-18.148388,-27.519911,2.891645,-17.340399
1720440231815,-27.540648,-6.368603,-18.182795,-27.516039,3.101696,-17.374783
1720440233121,-27.51656,-5.392258,-18.305376,-27.503902,3.978059,-17.498541
1720440235730,-27.498922,-2.089462,-18.259785,-27.5214,6.939174,-17.48527
1720440237065,-27.504517,-1.52129,-18.187527,-27.532358,7.44808,-17.422543
1720440242022,-27.627954,1.472688,-17.48086,-27.670553,10.12776,-16.785385
1720440243325,-27.647312,1.877419,-17.342796,-27.692062,10.489655,-16.659389
1720440244554,-27.673979,2.548387,-17.113976,-27.723377,11.089556,-16.450659
1720440245684,-27.762579,3.975054,-16.453331,-27.818302,12.363877,-15.843328
1720440246848,-27.774189,4.218925,-16.350107,-27.831543,12.58176,-15.748655
1720440249990,-27.955702,6.363871,-14.947525,-28.019541,14.494503,-14.451573
1720440251068,-28.029247,7.055914,-14.406879,-28.093609,15.110992,-13.950348
1720440252191,-28.05204,7.412904,-14.139785,-28.119511,15.428969,-13.703081
1720440253105,-28.067099,7.566881,-14.012903,-28.135054,15.566067,-13.585412
1720440254631,-28.171181,8.405592,-13.177202,-28.239704,16.311758,-12.808763
1720440256928,-28.342365,9.816774,-11.551399,-28.416197,17.564457,-11.296405
1720440258277,-28.3957,10.213762,-11.018493,-28.471214,17.916243,-10.800151
1720440260804,-28.496342,11.151829,-9.671827,-28.582315,18.746489,-9.546083
1720440262078,-28.549248,11.473977,-9.104515,-28.636847,19.030857,-9.016966
1720440263478,-28.62409,12.502365,-7.362581,-28.734554,19.938372,-7.394074
1720440264724,-28.709675,13.044728,-6.077419,-28.828917,20.414186,-6.194339
1720440265977,-28.872259,13.514409,-4.335054,-28.991615,20.821512,-4.564696
1720440266926,-28.970753,13.717849,-3.255054,-29.089813,20.995338,-3.553831
1720440267959,-29.179356,13.945806,-1.153548,-29.292889,21.18317,-1.585094
1720440269405,-29.321724,13.985377,0.264086,-29.430132,21.207485,-0.255988
1720440270756,-29.47699,13.887741,1.80043,-29.578333,21.107834,1.185668
1720440271704,-29.488171,13.878281,1.866666,-29.588264,21.098873,1.247941
1720440273101,-29.499786,13.868817,1.969462,-29.599134,21.08959,1.344447
1720440277134,-29.770752,13.419785,4.747957,-29.856745,20.664963,3.953941
1720440278124,-29.818493,13.28301,5.244731,-29.901712,20.538382,4.420987
1720440279412,-29.938496,12.912257,6.439999,-30.013622,20.196501,5.545175
1720440280793,-30.145374,12.027956,8.416775,-30.202902,19.388035,7.406923
1720440281830,-30.228811,11.524731,9.425376,-30.281296,18.928667,8.356935
1720440283096,-30.304945,10.894623,10.524301,-30.35412,18.354658,9.392506
1720440284630,-30.383224,10.076559,11.685591,-30.427912,17.611578,10.488154
1720440285621,-30.396984,9.732904,12.171182,-30.443575,17.299263,10.946003
1720440286954,-30.402143,9.492472,12.480863,-30.450472,17.080978,11.238121
1720440289631,-30.390104,8.097204,14.03828,-30.45302,15.815969,12.708239
1720440290664,-30.386234,7.730753,14.381934,-30.452063,15.484299,13.033127
1720440291678,-30.357851,7.347096,14.710968,-30.431097,15.137099,13.344083
1720440293026,-30.277418,6.323441,15.503657,-30.37001,14.211425,14.093899
1720440296951,-29.929029,3.19914,17.203011,-30.089573,11.391562,15.706694
1720440298279,-29.854622,2.590107,17.433119,-30.02807,10.842706,15.92628
1720440299713,-29.847313,2.461075,17.468386,-30.021585,10.726622,15.960315
1720440300616,-29.84774,2.451613,17.463221,-30.021757,10.718186,15.95557
1720440302070,-29.712255,1.433979,17.764727,-29.908726,9.801728,16.24461
1720440304751,-29.28215,-2.201721,18.273115,-29.538832,6.533022,16.745644
1720440305957,-28.897631,-5.618064,17.940645,-29.193851,3.468858,16.458294
1720440306907,-28.760862,-7.018495,17.584944,-29.065569,2.214923,16.135431
1720440307940,-28.626238,-8.435699,17.078709,-28.936407,0.947294,15.671824
1720440309394,-28.50882,-10.018925,16.356127,-28.815954,-0.46714,15.007424
1720440310738,-28.397848,-11.647742,15.380214,-28.696136,-1.920164,14.106368
1720440311815,-28.350107,-12.583225,14.699784,-28.638172,-2.753476,13.476846
1720440313045,-28.292046,-13.655913,13.811613,-28.567305,-3.708087,12.653885
1720440317114,-28.179352,-16.629246,10.404732,-28.394167,-6.345343,9.488855
1720440318255,-28.169466,-17.367311,9.20043,-28.359856,-6.996653,8.367771
