sep=,
"Time","stdTM5418300110010548962.sun_sensor_source"
1720439011290,4
1720439013831,4
1720439015528,4
1720439017536,4
1720439019237,4
1720439021852,4
1720439024365,4
1720439026610,4
1720439028198,4
1720439030075,4
1720439031676,4
1720439033822,4
1720439035427,4
1720439037611,4
1720439039480,4
1720439041942,4
1720439044162,4
1720439045689,4
1720439047821,4
1720439049454,4
1720439051614,4
1720439053561,4
1720439055759,4
1720439057814,4
1720439059683,4
1720439061803,4
1720439064070,4
1720439065365,4
1720439067850,4
1720439069504,4
1720439071514,4
1720439073753,4
1720439075311,4
1720439077717,4
1720439080216,4
1720439081816,4
1720439084221,4
1720439085517,4
1720439087626,4
1720439089279,4
1720439091675,4
1720439093912,4
1720439096154,4
1720439097948,4
1720439100140,4
1720439101766,4
1720439105462,4
1720439107612,4
1720439109311,4
1720439111395,4
1720439113726,4
1720439117994,4
1720439120166,4
1720439121489,4
1720439123635,4
1720439125250,5
1720439127891,5
1720439130143,5
1720439131778,5
1720439133846,5
1720439136301,5
1720439137865,5
1720439140150,5
1720439141389,5
1720439143711,5
1720439145418,5
1720439147672,5
1720439149954,5
1720439151661,5
1720439153935,5
1720439156072,5
1720439157591,5
1720439159862,5
1720439161561,5
1720439163614,5
1720439165807,3
1720439167459,3
1720439169726,3
1720439171523,3
1720439173574,3
1720439176087,3
1720439177465,3
1720439179646,3
1720439181791,6
1720439183436,6
1720439185582,6
1720439188255,6
1720439189943,6
1720439192234,8
1720439193832,8
1720439196012,8
1720439197410,8
1720439199495,4
1720439201280,4
1720439203719,4
1720439205958,4
1720439208198,5
1720439209985,5
1720439212224,5
1720439213734,5
1720439215652,5
1720439217343,5
1720439219826,5
1720439222066,5
1720439223688,5
1720439225729,5
1720439229710,5
1720439232234,5
1720439233960,5
1720439235768,5
1720439237523,5
1720439239514,5
1720439241713,5
1720439243331,5
1720439245805,5
1720439248260,5
1720439249873,5
1720439252052,5
1720439253774,5
1720439256019,5
1720439257727,5
1720439259715,5
1720439261912,5
1720439263471,5
1720439265718,5
1720439267986,5
1720439269602,5
1720439271705,5
1720439274020,5
1720439275542,8
1720439277764,8
1720439279331,8
1720439281859,8
1720439284363,8
1720439285976,5
1720439288151,5
1720439289789,5
1720439291851,5
1720439293492,5
1720439295685,5
1720439297413,5
1720439299518,5
1720439301718,1
1720439303678,1
1720439305875,1
1720439307563,1
1720439309689,1
1720439311881,1
1720439313617,1
1720439315676,1
1720439317502,1
1720439319726,1
1720439322242,6
1720439323805,6
1720439326013,6
1720439327358,6
1720439329718,6
1720439331998,6
1720439333515,6
1720439335706,6
1720439337376,8
1720439339818,8
1720439343738,8
1720439345570,8
1720439347116,8
1720439349376,8
1720439351600,2
1720439353162,2
1720439355718,2
1720439357846,2
1720439361786,2
1720439363939,2
1720439365328,5
1720439367712,5
1720439369908,5
1720439372150,5
1720439373647,5
1720439375767,5
1720439379794,5
1720439382057,5
1720439383397,5
1720439385846,5
1720439387589,1
1720439389553,1
1720439391704,1
1720439393323,1
1720439396154,1
1720439398503,1
1720439400079,1
1720439402386,1
1720439403633,1
1720439405788,1
1720439407451,1
1720439409823,1
1720439412113,1
1720439413686,1
1720439416183,1
1720439417744,1
1720439420307,1
1720439422305,1
1720439423913,1
1720439426053,1
1720439427666,1
1720439429854,1
1720439431556,1
1720439434159,1
1720439436370,1
1720439438596,1
1720439439845,1
1720439441509,1
1720439443619,1
1720439445870,1
1720439447504,1
1720439450053,1
